overall_rank,overall_score,overall_raw_score,game_design_rank,game_design_score,game_design_raw_score,innovation_rank,innovation_score,innovation_raw_score,theme_rank,theme_score,theme_raw_score,fun_rank,fun_score,fun_raw_score,audio_rank,audio_score,audio_raw_score,graphics_rank,graphics_score,graphics_raw_score
#1,4.357,4.357,#1,4.429,4.429,#1,4.857,4.857,#1,4.714,4.714,#1,4.714,4.714,#26,3.714,3.714,#62,3.714,3.714
#2,4.139,4.139,#15,4.000,4.000,#12,3.917,3.917,#12,4.250,4.250,#9,4.000,4.000,#10,4.000,4.000,#1,4.667,4.667
#3,4.080,4.080,#6,4.145,4.145,#8,4.000,4.000,#7,4.348,4.348,#24,3.739,3.739,#8,4.101,4.101,#24,4.145,4.145
#4,4.056,4.056,#8,4.133,4.133,#15,3.867,3.867,#16,4.200,4.200,#9,4.000,4.000,#19,3.867,3.867,#15,4.267,4.267
#5,4.048,4.048,#7,4.143,4.143,#8,4.000,4.000,#65,3.571,3.571,#18,3.857,3.857,#2,4.429,4.429,#13,4.286,4.286
#6,4.013,4.013,#3,4.240,4.240,#69,3.320,3.320,#3,4.480,4.480,#29,3.680,3.680,#10,4.000,4.000,#8,4.360,4.360
#7,3.940,3.940,#2,4.400,4.400,#69,3.320,3.320,#19,4.160,4.160,#20,3.840,3.840,#37,3.600,3.600,#11,4.320,4.320
#8,3.940,3.940,#13,4.040,4.040,#121,2.960,2.960,#116,3.280,3.280,#3,4.280,4.280,#1,4.480,4.480,#3,4.600,4.600
#9,3.932,3.932,#10,4.074,4.074,#4,4.185,4.185,#29,3.889,3.889,#23,3.778,3.778,#24,3.741,3.741,#43,3.926,3.926
#10,3.929,3.929,#29,3.786,3.786,#5,4.143,4.143,#6,4.357,4.357,#14,3.929,3.929,#46,3.500,3.500,#48,3.857,3.857
#11,3.905,3.905,#11,4.071,4.071,#38,3.571,3.571,#21,4.071,4.071,#33,3.643,3.643,#27,3.679,3.679,#6,4.393,4.393
#12,3.873,3.873,#5,4.190,4.190,#72,3.286,3.286,#42,3.810,3.810,#16,3.905,3.905,#6,4.143,4.143,#45,3.905,3.905
#13,3.857,3.857,#17,3.952,3.952,#55,3.429,3.429,#100,3.381,3.381,#4,4.238,4.238,#23,3.762,3.762,#7,4.381,4.381
#14,3.856,3.856,#12,4.067,4.067,#66,3.333,3.333,#18,4.167,4.167,#21,3.833,3.833,#28,3.667,3.667,#33,4.067,4.067
#15,3.855,3.855,#25,3.820,3.820,#14,3.869,3.869,#10,4.279,4.279,#37,3.557,3.557,#18,3.869,3.869,#61,3.738,3.738
#16,3.850,3.850,#49,3.567,3.567,#36,3.583,3.583,#15,4.217,4.217,#66,3.383,3.383,#10,4.000,4.000,#9,4.350,4.350
#17,3.742,3.742,#26,3.818,3.818,#40,3.545,3.545,#118,3.273,3.273,#22,3.818,3.818,#10,4.000,4.000,#36,4.000,4.000
#18,3.740,3.740,#28,3.792,3.792,#21,3.792,3.792,#8,4.333,4.333,#83,3.250,3.250,#76,3.146,3.146,#28,4.125,4.125
#19,3.723,3.723,#20,3.864,3.864,#65,3.341,3.341,#41,3.818,3.818,#50,3.455,3.455,#31,3.636,3.636,#17,4.227,4.227
#20,3.718,3.718,#34,3.692,3.692,#113,3.000,3.000,#82,3.462,3.462,#5,4.231,4.231,#4,4.308,4.308,#78,3.615,3.615
#21,3.697,3.697,#52,3.545,3.545,#51,3.455,3.455,#56,3.636,3.636,#7,4.091,4.091,#31,3.636,3.636,#54,3.818,3.818
#22,3.694,3.694,#57,3.500,3.500,#18,3.833,3.833,#2,4.500,4.500,#45,3.500,3.500,#28,3.667,3.667,#125,3.167,3.167
#23,3.680,3.680,#56,3.520,3.520,#57,3.400,3.400,#5,4.360,4.360,#86,3.200,3.200,#45,3.520,3.520,#32,4.080,4.080
#24,3.675,3.675,#4,4.200,4.200,#11,3.950,3.950,#39,3.850,3.850,#9,4.000,4.000,#148,2.600,2.600,#93,3.450,3.450
#25,3.651,3.651,#15,4.000,4.000,#76,3.278,3.278,#111,3.296,3.296,#6,4.185,4.185,#90,3.056,3.056,#31,4.093,4.093
#26,3.646,3.646,#108,3.125,3.125,#34,3.625,3.625,#12,4.250,4.250,#182,2.625,2.625,#3,4.375,4.375,#46,3.875,3.875
#27,3.644,3.644,#27,3.800,3.800,#57,3.400,3.400,#16,4.200,4.200,#43,3.533,3.533,#128,2.733,2.733,#20,4.200,4.200
#28,3.643,3.643,#22,3.857,3.857,#90,3.143,3.143,#112,3.286,3.286,#2,4.286,4.286,#6,4.143,4.143,#131,3.143,3.143
#29,3.633,3.633,#18,3.933,3.933,#100,3.089,3.089,#171,2.911,2.911,#8,4.067,4.067,#50,3.467,3.467,#10,4.333,4.333
#30,3.626,3.917,#51,3.549,3.833,#16,3.858,4.167,#9,4.320,4.667,#39,3.549,3.833,#67,3.240,3.500,#115,3.240,3.500
#31,3.625,3.625,#44,3.625,3.625,#22,3.750,3.750,#4,4.375,4.375,#45,3.500,3.500,#170,2.375,2.375,#28,4.125,4.125
#32,3.620,3.620,#31,3.744,3.744,#33,3.628,3.628,#25,3.953,3.953,#57,3.419,3.419,#65,3.279,3.279,#69,3.698,3.698
#33,3.619,3.619,#33,3.714,3.714,#3,4.214,4.214,#112,3.286,3.286,#18,3.857,3.857,#70,3.214,3.214,#96,3.429,3.429
#34,3.617,3.617,#40,3.650,3.650,#53,3.450,3.450,#69,3.550,3.550,#32,3.650,3.650,#30,3.650,3.650,#58,3.750,3.750
#35,3.589,3.589,#67,3.400,3.400,#49,3.467,3.467,#103,3.367,3.367,#43,3.533,3.533,#50,3.467,3.467,#12,4.300,4.300
#36,3.571,3.571,#22,3.857,3.857,#38,3.571,3.571,#46,3.714,3.714,#36,3.571,3.571,#77,3.143,3.143,#83,3.571,3.571
#37,3.548,3.548,#65,3.429,3.429,#90,3.143,3.143,#46,3.714,3.714,#142,2.857,2.857,#10,4.000,4.000,#25,4.143,4.143
#38,3.542,3.542,#30,3.750,3.750,#30,3.659,3.659,#182,2.864,2.864,#28,3.705,3.705,#60,3.318,3.318,#41,3.955,3.955
#40,3.523,3.806,#21,3.858,4.167,#79,3.240,3.500,#49,3.703,4.000,#63,3.395,3.667,#107,2.932,3.167,#35,4.012,4.333
#41,3.515,3.515,#57,3.500,3.500,#40,3.545,3.545,#72,3.545,3.545,#69,3.364,3.364,#22,3.773,3.773,#108,3.364,3.364
#42,3.511,3.511,#38,3.667,3.667,#20,3.800,3.800,#63,3.600,3.600,#25,3.733,3.733,#116,2.800,2.800,#90,3.467,3.467
#43,3.510,3.510,#9,4.118,4.118,#29,3.662,3.662,#62,3.618,3.618,#15,3.926,3.926,#243,1.706,1.706,#34,4.029,4.029
#44,3.500,3.500,#102,3.143,3.143,#55,3.429,3.429,#77,3.500,3.500,#91,3.143,3.143,#46,3.500,3.500,#13,4.286,4.286
#45,3.500,3.500,#97,3.185,3.185,#25,3.722,3.722,#148,3.037,3.037,#153,2.815,2.815,#36,3.611,3.611,#2,4.630,4.630
#45,3.500,3.500,#39,3.652,3.652,#23,3.739,3.739,#34,3.870,3.870,#89,3.174,3.174,#49,3.478,3.478,#137,3.087,3.087
#47,3.487,3.487,#54,3.538,3.538,#71,3.308,3.308,#27,3.923,3.923,#65,3.385,3.385,#87,3.077,3.077,#70,3.692,3.692
