overall_rank,overall_score,overall_raw_score,top_marks_rank,top_marks_score,top_marks_raw_score,enjoyment_rank,enjoyment_score,enjoyment_raw_score,creativity_rank,creativity_score,creativity_raw_score,presentation_rank,presentation_score,presentation_raw_score
#1,4.606,4.606,#1,n/a,n/a,#2,4.545,4.545,#8,4.545,4.545,#10,4.727,4.727
#2,4.603,4.603,n/a,n/a,n/a,#10,4.457,4.457,#3,4.617,4.617,#7,4.734,4.734
#3,4.586,4.586,n/a,n/a,n/a,#1,4.757,4.757,#70,4.270,4.270,#9,4.730,4.730
#4,4.528,4.528,#1,n/a,n/a,#28,4.292,4.292,#1,4.708,4.708,#46,4.583,4.583
#5,4.523,4.523,n/a,n/a,n/a,#6,4.477,4.477,#8,4.545,4.545,#55,4.545,4.545
#6,4.519,4.519,n/a,n/a,n/a,#4,4.500,4.500,#22,4.444,4.444,#39,4.611,4.611
#7,4.507,4.507,#1,n/a,n/a,#9,4.460,4.460,#44,4.361,4.361,#14,4.698,4.698
#8,4.494,4.494,n/a,n/a,n/a,#8,4.462,4.462,#6,4.577,4.577,#109,4.442,4.442
#9,4.489,4.489,n/a,n/a,n/a,#15,4.388,4.388,#14,4.497,4.497,#47,4.582,4.582
#10,4.474,4.474,n/a,n/a,n/a,#59,4.173,4.173,#4,4.615,4.615,#31,4.635,4.635
#11,4.471,4.471,n/a,n/a,n/a,#40,4.235,4.235,#5,4.588,4.588,#44,4.588,4.588
#12,4.468,4.468,n/a,n/a,n/a,#7,4.468,4.468,#67,4.277,4.277,#22,4.660,4.660
#13,4.454,4.454,n/a,n/a,n/a,#20,4.362,4.362,#49,4.349,4.349,#24,4.651,4.651
#14,4.445,4.445,#1,n/a,n/a,#5,4.489,4.489,#95,4.219,4.219,#33,4.628,4.628
#15,4.435,4.435,n/a,n/a,n/a,#76,4.111,4.111,#22,4.444,4.444,#4,4.750,4.750
#16,4.435,4.435,n/a,n/a,n/a,#23,4.348,4.348,#17,4.478,4.478,#86,4.478,4.478
#17,4.407,4.407,n/a,n/a,n/a,#24,4.333,4.333,#77,4.250,4.250,#29,4.639,4.639
#18,4.405,4.405,#1,n/a,n/a,#33,4.266,4.266,#13,4.508,4.508,#111,4.441,4.441
#19,4.404,4.404,n/a,n/a,n/a,#75,4.113,4.113,#35,4.394,4.394,#12,4.704,4.704
#20,4.391,4.391,n/a,n/a,n/a,#34,4.261,4.261,#11,4.522,4.522,#136,4.391,4.391
#21,4.389,4.389,#1,n/a,n/a,#19,4.367,4.367,#36,4.389,4.389,#130,4.411,4.411
#22,4.387,4.387,n/a,n/a,n/a,#14,4.400,4.400,#25,4.440,4.440,#180,4.320,4.320
#23,4.379,4.379,n/a,n/a,n/a,#62,4.153,4.153,#69,4.274,4.274,#11,4.710,4.710
#24,4.375,4.375,n/a,n/a,n/a,#196,3.875,3.875,#7,4.575,4.575,#19,4.675,4.675
#25,4.373,4.373,#1,n/a,n/a,#64,4.143,4.143,#84,4.244,4.244,#8,4.731,4.731
#26,4.359,4.359,n/a,n/a,n/a,#43,4.231,4.231,#2,4.654,4.654,#289,4.192,4.192
#27,4.355,4.355,n/a,n/a,n/a,#80,4.104,4.104,#73,4.261,4.261,#13,4.701,4.701
#28,4.353,4.353,n/a,n/a,n/a,#27,4.308,4.308,#223,4.000,4.000,#4,4.750,4.750
#29,4.351,4.351,n/a,n/a,n/a,#56,4.190,4.190,#68,4.276,4.276,#45,4.586,4.586
#30,4.350,4.350,n/a,n/a,n/a,#104,4.050,4.050,#116,4.175,4.175,#3,4.825,4.825
#31,4.348,4.348,n/a,n/a,n/a,#57,4.182,4.182,#110,4.182,4.182,#17,4.682,4.682
#32,4.333,4.333,#1,n/a,n/a,#11,4.438,4.438,#56,4.313,4.313,#239,4.250,4.250
#32,4.333,4.333,n/a,n/a,n/a,#31,4.286,4.286,#61,4.286,4.286,#120,4.429,4.429
#34,4.333,4.333,n/a,n/a,n/a,#22,4.355,4.355,#141,4.129,4.129,#71,4.516,4.516
#35,4.322,4.322,#1,n/a,n/a,#3,4.533,4.533,#157,4.100,4.100,#167,4.333,4.333
#36,4.319,4.319,#1,n/a,n/a,#39,4.246,4.246,#16,4.482,4.482,#262,4.228,4.228
#37,4.318,4.318,n/a,n/a,n/a,#42,4.232,4.232,#61,4.286,4.286,#114,4.438,4.438
#38,4.317,4.317,#1,n/a,n/a,#44,4.229,4.229,#117,4.171,4.171,#53,4.552,4.552
#39,4.313,4.313,n/a,n/a,n/a,#86,4.094,4.094,#77,4.250,4.250,#42,4.594,4.594
#40,4.302,4.302,#1,n/a,n/a,#70,4.132,4.132,#83,4.245,4.245,#62,4.528,4.528
#41,4.301,4.301,n/a,n/a,n/a,#91,4.072,4.072,#55,4.313,4.313,#70,4.518,4.518
#42,4.300,4.300,n/a,n/a,n/a,#38,4.250,4.250,#77,4.250,4.250,#133,4.400,4.400
#43,4.299,4.299,#1,n/a,n/a,#83,4.097,4.097,#12,4.521,4.521,#215,4.280,4.280
#44,4.294,4.294,n/a,n/a,n/a,#204,3.870,3.870,#47,4.351,4.351,#21,4.662,4.662
#45,4.283,4.283,n/a,n/a,n/a,#224,3.850,3.850,#48,4.350,4.350,#25,4.650,4.650
#46,4.281,4.281,n/a,n/a,n/a,#151,3.947,3.947,#124,4.158,4.158,#6,4.737,4.737
#47,4.271,4.271,n/a,n/a,n/a,#16,4.375,4.375,#108,4.188,4.188,#239,4.250,4.250
#48,4.268,4.268,n/a,n/a,n/a,#34,4.261,4.261,#140,4.130,4.130,#126,4.413,4.413
#49,4.264,4.264,#1,n/a,n/a,#13,4.414,4.414,#135,4.138,4.138,#247,4.241,4.241
#50,4.262,4.262,n/a,n/a,n/a,#26,4.319,4.319,#413,3.851,3.851,#38,4.617,4.617
#51,4.262,4.262,n/a,n/a,n/a,#31,4.286,4.286,#206,4.036,4.036,#94,4.464,4.464
#52,4.261,4.261,n/a,n/a,n/a,#12,4.417,4.417,#258,3.983,3.983,#139,4.383,4.383
#53,4.259,4.259,n/a,n/a,n/a,#48,4.222,4.222,#223,4.000,4.000,#52,4.556,4.556
#54,4.258,4.258,n/a,n/a,n/a,#121,4.000,4.000,#31,4.400,4.400,#142,4.375,4.375
#55,4.255,4.255,#1,n/a,n/a,#41,4.234,4.234,#181,4.064,4.064,#93,4.468,4.468
#56,4.252,4.252,#1,n/a,n/a,#72,4.122,4.122,#61,4.286,4.286,#160,4.347,4.347
#57,4.244,4.244,#1,n/a,n/a,#82,4.100,4.100,#50,4.333,4.333,#199,4.300,4.300
