wowie_rank,wowie_score,wowie_raw_score,topic_rank,topic_score,topic_raw_score,fun_rank,fun_score,fun_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,creativity_rank,creativity_score,creativity_raw_score
#1,4.417,4.417,#2,4.750,4.750,#2,4.417,4.417,#5,4.500,4.500,#28,4.000,4.000,#78,4.083,4.083,#95,3.917,3.917
#2,4.379,4.379,#112,3.897,3.897,#5,4.345,4.345,#7,4.483,4.483,#26,4.017,4.017,#20,4.500,4.500,#9,4.328,4.328
#4,4.333,4.333,#10,4.333,4.333,#2,4.417,4.417,#2,4.750,4.750,#50,3.833,3.833,#156,3.833,3.833,#133,3.833,3.833
#5,4.326,4.326,#21,4.283,4.283,#27,4.082,4.082,#247,3.832,3.832,#8,4.219,4.219,#3,4.706,4.706,#16,4.287,4.287
#6,4.308,4.308,#26,4.231,4.231,#30,4.077,4.077,#199,3.923,3.923,#69,3.769,3.769,#53,4.231,4.231,#162,3.769,3.769
#7,4.303,4.303,#3,4.576,4.576,#1,4.545,4.545,#25,4.333,4.333,#81,3.727,3.727,#22,4.485,4.485,#5,4.364,4.364
#8,4.268,4.268,#18,4.286,4.286,#10,4.232,4.232,#79,4.161,4.161,#10,4.179,4.179,#14,4.571,4.571,#195,3.679,3.679
#9,4.250,4.250,#7,4.359,4.359,#24,4.109,4.109,#226,3.875,3.875,#38,3.922,3.922,#26,4.438,4.438,#20,4.250,4.250
#10,4.247,4.247,#8,4.356,4.356,#8,4.294,4.294,#140,4.026,4.026,#15,4.139,4.139,#16,4.567,4.567,#112,3.881,3.881
#11,4.244,4.244,#41,4.133,4.133,#12,4.222,4.222,#122,4.067,4.067,#75,3.756,3.756,#21,4.489,4.489,#50,4.067,4.067
#12,4.235,4.235,#16,4.294,4.294,#7,4.294,4.294,#21,4.353,4.353,#6,4.235,4.235,#45,4.294,4.294,#68,4.000,4.000
#13,4.171,4.171,#157,3.800,3.800,#23,4.114,4.114,#109,4.086,4.086,#12,4.171,4.171,#14,4.571,4.571,#2,4.429,4.429
#14,4.156,4.156,#67,4.031,4.031,#17,4.188,4.188,#44,4.250,4.250,#190,3.406,3.406,#91,4.031,4.031,#61,4.031,4.031
#15,4.136,4.136,#122,3.864,3.864,#4,4.409,4.409,#251,3.818,3.818,#36,3.955,3.955,#46,4.273,4.273,#12,4.318,4.318
#16,4.129,4.129,#57,4.095,4.095,#94,3.802,3.802,#201,3.922,3.922,#11,4.172,4.172,#17,4.526,4.526,#21,4.241,4.241
#17,4.111,4.333,#4,4.427,4.667,#34,4.006,4.222,#97,4.111,4.333,#126,3.584,3.778,#57,4.216,4.444,#28,4.216,4.444
#19,4.095,4.095,#13,4.310,4.310,#13,4.214,4.214,#20,4.357,4.357,#106,3.643,3.643,#255,3.571,3.571,#113,3.881,3.881
#20,4.083,4.083,#138,3.833,3.833,#35,4.000,4.000,#110,4.083,4.083,#50,3.833,3.833,#93,4.000,4.000,#95,3.917,3.917
#21,4.061,4.061,#364,3.242,3.242,#52,3.955,3.955,#345,3.682,3.682,#99,3.667,3.667,#24,4.455,4.455,#119,3.864,3.864
#22,4.051,4.051,#253,3.576,3.576,#151,3.644,3.644,#375,3.610,3.610,#79,3.746,3.746,#186,3.729,3.729,#10,4.322,4.322
#23,4.042,4.042,#116,3.875,3.875,#18,4.167,4.167,#226,3.875,3.875,#39,3.917,3.917,#67,4.125,4.125,#39,4.125,4.125
#24,4.037,4.037,#391,3.210,3.210,#61,3.914,3.914,#208,3.914,3.914,#24,4.049,4.049,#18,4.519,4.519,#79,3.988,3.988
#25,4.017,4.017,#30,4.203,4.203,#175,3.576,3.576,#178,3.983,3.983,#17,4.119,4.119,#2,4.780,4.780,#60,4.034,4.034
#26,4.014,4.014,#124,3.863,3.863,#190,3.548,3.548,#416,3.521,3.521,#7,4.233,4.233,#13,4.575,4.575,#32,4.192,4.192
#27,4.000,4.000,#14,4.308,4.308,#86,3.846,3.846,#238,3.846,3.846,#168,3.462,3.462,#63,4.154,4.154,#186,3.692,3.692
#27,4.000,4.000,#70,4.000,4.000,#63,3.909,3.909,#3,4.636,4.636,#28,4.000,4.000,#6,4.636,4.636,#45,4.091,4.091
#27,4.000,4.000,#10,4.333,4.333,#20,4.133,4.133,#230,3.867,3.867,#357,3.067,3.067,#36,4.333,4.333,#18,4.267,4.267
#27,4.000,4.000,#45,4.118,4.118,#150,3.647,3.647,#21,4.353,4.353,#184,3.412,3.412,#31,4.412,4.412,#211,3.647,3.647
#31,3.973,3.973,#307,3.405,3.405,#79,3.865,3.865,#128,4.054,4.054,#20,4.108,4.108,#28,4.432,4.432,#63,4.027,4.027
#32,3.964,3.964,#281,3.473,3.473,#45,3.982,3.982,#196,3.927,3.927,#19,4.109,4.109,#19,4.509,4.509,#207,3.655,3.655
#33,3.960,3.960,#44,4.120,4.120,#28,4.080,4.080,#47,4.240,4.240,#107,3.640,3.640,#87,4.040,4.040,#11,4.320,4.320
#34,3.929,3.929,#96,3.929,3.929,#152,3.643,3.643,#273,3.786,3.786,#148,3.500,3.500,#93,4.000,4.000,#156,3.786,3.786
#34,3.929,3.929,#86,3.982,3.982,#131,3.696,3.696,#258,3.804,3.804,#60,3.804,3.804,#48,4.268,4.268,#49,4.071,4.071
#36,3.918,3.918,#35,4.182,4.182,#206,3.509,3.509,#242,3.845,3.845,#41,3.909,3.909,#33,4.400,4.400,#34,4.173,4.173
#37,3.918,3.918,#251,3.582,3.582,#31,4.057,4.057,#6,4.485,4.485,#5,4.237,4.237,#164,3.804,3.804,#67,4.015,4.015
#38,3.912,3.912,#45,4.118,4.118,#82,3.853,3.853,#288,3.765,3.765,#116,3.618,3.618,#70,4.118,4.118,#19,4.265,4.265
