game_title,author,number_of_ratings,wowie_rank,wowie_score,wowie_raw_score,fun_rank,fun_score,fun_raw_score,creativity_rank,creativity_score,creativity_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,on_topic_rank,on_topic_score,on_topic_raw_score
BillyBob Training Simulator,AArchos, 16,#1,4.375,4.375,#1,4.688,4.688,#2,4.688,4.688,#4,4.563,4.563,#5,4.375,4.375,#23,4.500,4.500,#198,3.750,3.750
WASD quartet (Wowie Jam 4.0),Le Jo, 59,#2,4.373,4.373,#37,4.000,4.000,#4,4.525,4.525,#1,4.712,4.712,#1,4.746,4.746,#4,4.661,4.661,#63,4.153,4.153
Semi-Automated Shipping Company,kypello, 59,#3,4.339,4.339,#9,4.305,4.305,#15,4.373,4.373,#279,3.814,3.814,#47,3.814,3.814,#18,4.525,4.525,#19,4.339,4.339
Kapitalist Pigs Shall Fear Our Shadow People!,kunic, 42,#4,4.310,4.310,#22,4.167,4.167,#1,4.714,4.714,#228,3.905,3.905,#6,4.286,4.286,#9,4.595,4.595,#230,3.667,3.667
SubPrime Delivery,"RECRAFTED STUDIOS, Master Cannoli", 23,#5,4.304,4.304,#2,4.435,4.435,#132,3.870,3.870,#132,4.087,4.087,#16,4.130,4.130,#19,4.522,4.522,#27,4.304,4.304
"Golf, yes?","F4B1, Santum, MyM (ez)", 58,#6,4.259,4.259,#27,4.138,4.138,#29,4.224,4.224,#77,4.224,4.224,#20,4.103,4.103,#65,4.241,4.241,#70,4.121,4.121
Kill-BOI 9000,PlayWithFurcifer, 21,#7,4.238,4.238,#11,4.286,4.286,#28,4.238,4.238,#129,4.095,4.095,#15,4.143,4.143,#31,4.429,4.429,#2,4.619,4.619
The Orion Project,spunky2, 13,#8,4.231,4.231,#15,4.231,4.231,#63,4.077,4.077,#215,3.923,3.923,#202,3.308,3.308,#289,3.462,3.462,#190,3.769,3.769
Crystalline Guard,RCJ15, 18,#9,4.222,4.222,#13,4.278,4.278,#70,4.056,4.056,#413,3.500,3.500,#36,3.889,3.889,#56,4.278,4.278,#170,3.833,3.833
DUSTPOCALYPSE,"Bonicle, CatCube", 82,#10,4.220,4.220,#7,4.366,4.366,#40,4.171,4.171,#93,4.183,4.183,#49,3.805,3.805,#64,4.244,4.244,#8,4.451,4.451
Possescort,FazeDevWater, 15,#11,4.200,4.200,#4,4.400,4.400,#52,4.133,4.133,#175,4.000,4.000,#167,3.400,3.400,#334,3.333,3.333,#13,4.400,4.400
