overall_rank,overall_score,overall_raw_score,gameplay_rank,gameplay_score,gameplay_raw_score,mood_rank,mood_score,mood_raw_score,visuals_rank,visuals_score,visuals_raw_score,audio_rank,audio_score,audio_raw_score
#1,4.542,4.542,#1,4.718,4.718,#1,4.549,4.549,#2,4.704,4.704,#4,4.197,4.197
#2,4.319,4.319,#2,4.685,4.685,#10,4.296,4.296,#7,4.500,4.500,#19,3.796,3.796
#3,4.318,4.318,#30,3.727,3.727,#2,4.545,4.545,#9,4.455,4.455,#1,4.545,4.545
#5,4.237,4.237,#7,4.300,4.300,#9,4.300,4.300,#10,4.450,4.450,#13,3.900,3.900
#6,4.184,4.184,#14,4.105,4.105,#12,4.211,4.211,#13,4.316,4.316,#5,4.105,4.105
#7,4.173,4.173,#61,3.385,3.385,#8,4.308,4.308,#3,4.692,4.692,#3,4.308,4.308
#8,4.171,4.171,#17,3.971,3.971,#16,4.171,4.171,#5,4.600,4.600,#11,3.943,3.943
#9,4.167,4.167,#12,4.208,4.208,#4,4.417,4.417,#24,4.125,4.125,#12,3.917,3.917
#10,4.143,4.143,#28,3.786,3.786,#18,4.071,4.071,#1,4.714,4.714,#8,4.000,4.000
#11,4.130,4.130,#6,4.320,4.320,#11,4.240,4.240,#71,3.560,3.560,#2,4.400,4.400
#12,4.097,4.097,#56,3.444,3.444,#3,4.444,4.444,#7,4.500,4.500,#8,4.000,4.000
#13,4.073,4.073,#15,4.081,4.081,#13,4.210,4.210,#23,4.129,4.129,#15,3.871,3.871
#14,4.050,4.050,#3,4.600,4.600,#14,4.200,4.200,#67,3.600,3.600,#17,3.800,3.800
#15,4.016,4.679,#8,4.292,5.000,#27,3.924,4.571,#21,4.169,4.857,#30,3.679,4.286
#16,3.987,3.987,#23,3.842,3.842,#20,4.053,4.053,#11,4.421,4.421,#32,3.632,3.632
#17,3.974,4.083,#10,4.218,4.333,#41,3.785,3.889,#29,4.001,4.111,#14,3.893,4.000
#18,3.972,3.972,#25,3.833,3.833,#19,4.056,4.056,#12,4.389,4.389,#35,3.611,3.611
#19,3.955,3.955,#30,3.727,3.727,#15,4.182,4.182,#18,4.182,4.182,#26,3.727,3.727
#20,3.925,3.925,#40,3.600,3.600,#17,4.100,4.100,#30,4.000,4.000,#8,4.000,4.000
#21,3.917,3.917,#36,3.667,3.667,#6,4.333,4.333,#36,3.917,3.917,#22,3.750,3.750
#22,3.862,3.862,#50,3.500,3.500,#25,3.950,3.950,#16,4.250,4.250,#22,3.750,3.750
#23,3.854,3.854,#36,3.667,3.667,#33,3.833,3.833,#22,4.167,4.167,#22,3.750,3.750
#24,3.850,3.850,#50,3.500,3.500,#31,3.850,3.850,#16,4.250,4.250,#17,3.800,3.800
#25,3.843,3.843,#44,3.581,3.581,#5,4.349,4.349,#30,4.000,4.000,#53,3.442,3.442
#26,3.843,3.843,#43,3.593,3.593,#24,3.963,3.963,#53,3.778,3.778,#7,4.037,4.037
#27,3.813,3.813,#29,3.750,3.750,#29,3.875,3.875,#70,3.563,3.563,#6,4.063,4.063
#28,3.800,3.800,#5,4.400,4.400,#39,3.800,3.800,#101,3.300,3.300,#29,3.700,3.700
#29,3.779,3.779,#9,4.232,4.232,#35,3.826,3.826,#75,3.522,3.522,#44,3.536,3.536
#30,3.768,3.768,#45,3.571,3.571,#43,3.714,3.714,#25,4.071,4.071,#28,3.714,3.714
#31,3.750,3.750,#64,3.350,3.350,#25,3.950,3.950,#15,4.300,4.300,#60,3.400,3.400
#32,3.732,3.732,#20,3.893,3.893,#61,3.536,3.536,#20,4.179,4.179,#66,3.321,3.321
#33,3.731,3.833,#10,4.218,4.333,#53,3.569,3.667,#39,3.893,4.000,#74,3.244,3.333
#34,3.710,3.710,#48,3.520,3.520,#32,3.840,3.840,#30,4.000,4.000,#51,3.480,3.480
#35,3.700,3.700,#40,3.600,3.600,#39,3.800,3.800,#43,3.867,3.867,#45,3.533,3.533
#36,3.694,3.694,#35,3.677,3.677,#37,3.806,3.806,#27,4.065,4.065,#76,3.226,3.226
#37,3.677,3.778,#16,4.001,4.111,#65,3.461,3.556,#51,3.785,3.889,#52,3.461,3.556
